scan_pdf_page	candidate_physical_line	approx_ink_peak_y_180dpi	printed_counterpart_id	printed_reading	status
105	1	724	seytek-2012:p0977:b002:l026	Каман сындуу камынып,	visual_sequence_alignment_aid_only
105	2	901	seytek-2012:p0977:b002:l027	Каарланды чамынып,	visual_sequence_alignment_aid_only
105	3	1111	seytek-2012:p0977:b002:l028	Кайраттанып камынып,	visual_sequence_alignment_aid_only
105	4	1314	seytek-2012:p0977:b002:l029	Арстандай көз жайнап,	visual_sequence_alignment_aid_only
105	5	1510	seytek-2012:p0977:b002:l030	Качыратып тиш чайнап,	visual_sequence_alignment_aid_only
105	6	1648	seytek-2012:p0977:b002:l031	Болжолу бар жолборстой,	visual_sequence_alignment_aid_only
105	7	1784	seytek-2012:p0977:b002:l032	Кармашкан аман болбостой.	visual_sequence_alignment_aid_only
105	8	1931	seytek-2012:p0977:b002:l033	Эң кайраты таш жарып,	visual_sequence_alignment_aid_only
105	9	2095	seytek-2012:p0977:b002:l034	Күркүрөшү баш жарып,	visual_sequence_alignment_aid_only
105	10	2267	seytek-2012:p0977:b002:l035	Токсон түрлүү түрлөнүп,	visual_sequence_alignment_aid_only
105	11	2434	seytek-2012:p0977:b002:l036	Тоодой болгон кутургур,	visual_sequence_alignment_aid_only
105	12	2594	seytek-2012:p0977:b002:l037	Ай-ааламды сүйкөнүп,	visual_sequence_alignment_aid_only
105	13	2736	seytek-2012:p0977:b002:l038	Эр Сарыбай атагын,	visual_sequence_alignment_aid_only
105	14	2902	seytek-2012:p0977:b002:l039	Ай-ааламдын баарына,	visual_sequence_alignment_aid_only
105	15	3042	seytek-2012:p0977:b002:l040	Азыр тиер чатагы.	visual_sequence_alignment_aid_only
105	16	3205	seytek-2012:p0977:b004:l001	«Кагыш кылдым кыйынча,	visual_sequence_alignment_aid_only
105	17	3351	seytek-2012:p0977:b004:l002	Кабылдым заман акырга,	visual_sequence_alignment_aid_only
105	18	3494	seytek-2012:p0977:b004:l003	Ай-ааламга зор кылдың,	visual_sequence_alignment_aid_only
105	19	3641	seytek-2012:p0977:b004:l004	Бир катынга жараткан	visual_sequence_alignment_aid_only
105	20	3792	seytek-2012:p0977:b004:l005	Мынча неге кор кылдың.	visual_sequence_alignment_aid_only
105	21	3956	seytek-2012:p0977:b004:l006	Улук элем, шер элем	visual_sequence_alignment_aid_only
105	22	4113	seytek-2012:p0977:b004:l007	Ай-ааламдын бардыгын	visual_sequence_alignment_aid_only
105	23	4266	seytek-2012:p0977:b004:l008	Айдап жүрүп түгөткөн	visual_sequence_alignment_aid_only
105	24	4500	seytek-2012:p0977:b004:l009	Канча жерде алптарды	visual_sequence_alignment_aid_only
105	25	4677	seytek-2012:p0977:b004:l010	Албан түрлүү калктарды,	visual_sequence_alignment_aid_only
105	26	4855	seytek-2012:p0977:b004:l011	Алыш менен жүдөткөн,	visual_sequence_alignment_aid_only
105	27	5017	seytek-2012:p0977:b004:l012	Кайратым арбын заарым күч,	visual_sequence_alignment_aid_only
105	28	5175	seytek-2012:p0977:b004:l013	Кармашканды кылган түз,	visual_sequence_alignment_aid_only
105	29	5370	seytek-2012:p0977:b004:l014	Жанчышканды чаалыткан,	visual_sequence_alignment_aid_only
105	30	5549	seytek-2012:p0977:b004:l015	Алышканды карыткан.	visual_sequence_alignment_aid_only
105	31	5781	seytek-2012:p0977:b004:l016	Тиктешкенди жоготкон,	visual_sequence_alignment_aid_only
105	32	5937	seytek-2012:p0977:b004:l017	Басташканды май кылган,	visual_sequence_alignment_aid_only
105	33	6090	seytek-2012:p0977:b004:l018	Кез болгонду жай кылган.	visual_sequence_alignment_aid_only
105	34	6317	seytek-2012:p0977:b004:l019	Кагыш кылган адамды,	visual_sequence_alignment_aid_only
105	35	6496	seytek-2012:p0977:b004:l020	Кара болот жадалган,	visual_sequence_alignment_aid_only
105	36	6683	seytek-2012:p0977:b004:l021	Кан Сарыбай мен элем,	visual_sequence_alignment_aid_only
105	37	6879	seytek-2012:p0977:b004:l022	Кордугума кол жетпес,	visual_sequence_alignment_aid_only
105	38	7077	seytek-2012:p0977:b004:l023	Атышканда ок жетпес,	visual_sequence_alignment_aid_only
105	39	7271	seytek-2012:p0977:b004:l024	Кыя жагын чалдырбас,	visual_sequence_alignment_aid_only
105	40	7433	seytek-2012:p0977:b004:l025	Добул келсе жел жетпес,	visual_sequence_alignment_aid_only
105	41	7564	seytek-2012:p0977:b004:l026	Доо дооласа мал бербес,	visual_sequence_alignment_aid_only
105	42	7742	seytek-2012:p0977:b004:l027	Эр Сарыбай шер элем,	visual_sequence_alignment_aid_only
105	43	7891	seytek-2012:p0977:b004:l028	Кара коргон чеп элем.	visual_sequence_alignment_aid_only
105	44	8051	seytek-2012:p0977:b004:l029	Кабылганды кайсаган,	visual_sequence_alignment_aid_only
105	45	8245	seytek-2012:p0977:b004:l030	Кайран көкжал эр элем.	visual_sequence_alignment_aid_only
105	46	8489	seytek-2012:p0977:b004:l031	Эс-акылдан танганбы,	visual_sequence_alignment_aid_only
105	47	8629	seytek-2012:p0977:b004:l032	Же эрдик менден качканбы?	visual_sequence_alignment_aid_only
105	48	8799	seytek-2012:p0977:b004:l033	Баатырлык балбан шерлик кыз,	visual_sequence_alignment_aid_only
105	49	9033	seytek-2012:p0977:b004:l034	Баарысы менден өткөнбү.	visual_sequence_alignment_aid_only
