scan_pdf_page	candidate_physical_line	center_y_at_120dpi	printed_counterpart_id	printed_reading	image_peak	status
102	1	387	seytek-2012:p0975:b002:l025	Мурунку өткөн Манастан	1	visual_sequence_alignment_aid_only
102	2	476	seytek-2012:p0975:b002:l026	Мураска калган сыр найза,	2	visual_sequence_alignment_aid_only
102	3	587	seytek-2012:p0975:b002:l027	Буюмдан мындай болбогон,	3	visual_sequence_alignment_aid_only
102	4	690	seytek-2012:p0975:b002:l028	Кыжырланып шилтесе,	4	visual_sequence_alignment_aid_only
102	5	759	seytek-2012:p0975:b002:l029	Кылыч кесип өтпөгөн,	5	visual_sequence_alignment_aid_only
102	6	845	seytek-2012:p0975:b002:l030	Каарланып кармаса,	6	visual_sequence_alignment_aid_only
102	7	931	seytek-2012:p0975:b002:l031	Колдон тайып кетпеген,	7	visual_sequence_alignment_aid_only
102	8	1038	seytek-2012:p0975:b002:l032	Кадимкидей сыр найза	8	visual_sequence_alignment_aid_only
102	9	1128	seytek-2012:p0975:b002:l033	Кабылан Сейтек аны алып эр,	9	visual_sequence_alignment_aid_only
102	10	1217	seytek-2012:p0975:b002:l034	Эки көзү төрт болуп,	10	visual_sequence_alignment_aid_only
102	11	1299	seytek-2012:p0975:b002:l035	Эрте күнү кеч болуп,	11	visual_sequence_alignment_aid_only
102	12	1385	seytek-2012:p0975:b002:l036	Чымын жаны чыркырап,	12	visual_sequence_alignment_aid_only
102	13	1478	seytek-2012:p0975:b002:l037	Чын жалынып эне – деп,	13	visual_sequence_alignment_aid_only
102	14	1573	seytek-2012:p0975:b002:l038	Кайран бала буркурап,	14	visual_sequence_alignment_aid_only
102	15	1676	seytek-2012:p0975:b002:l039	Астындагы Кулансур,	15	visual_sequence_alignment_aid_only
102	16	1771	seytek-2012:p0975:b002:l040	Чын буудандын өзү бул.	17	visual_sequence_alignment_aid_only
102	17	1884	seytek-2012:p0975:b003:l001	Желкесине жал түйүп,	18	visual_sequence_alignment_aid_only
102	18	1998	seytek-2012:p0975:b003:l002	Кулансурдай тулпардын	19	visual_sequence_alignment_aid_only
102	19	2114	seytek-2012:p0975:b003:l003	Басканына мал жетпейт,	20	visual_sequence_alignment_aid_only
102	20	2189	seytek-2012:p0975:b003:l004	Башын жерге салыптыр,	21	visual_sequence_alignment_aid_only
102	21	2278	seytek-2012:p0975:b003:l005	Эти кызып калыптыр.	22	visual_sequence_alignment_aid_only
102	22	2380	seytek-2012:p0975:b003:l006	Желмаяндай желди эле,	23	visual_sequence_alignment_aid_only
102	23	2477	seytek-2012:p0975:b003:l007	Жетип келип арстанга	24	visual_sequence_alignment_aid_only
102	24	2579	seytek-2012:p0975:b003:l008	Сыр найзаны берди эле.	26	visual_sequence_alignment_aid_only
102	25	2693	seytek-2012:p0975:b003:l009	Мына ошондо Куялы:	28	visual_sequence_alignment_aid_only
102	26	2808	seytek-2012:p0975:b003:l010	«Телегейи тең уулум,	29	visual_sequence_alignment_aid_only
102	27	2915	seytek-2012:p0975:b003:l011	Теги гана болсун – деп,	30	visual_sequence_alignment_aid_only
102	28	3013	seytek-2012:p0975:b003:l012	Маңдайга жазган эр уулум,	31	visual_sequence_alignment_aid_only
