scan_pdf_page	candidate_physical_line	printed_counterpart_id	printed_reading	status
104	1	seytek-2012:p0976:b003:l018	Катуу каардуу капырга	visual_sequence_alignment_aid_only
104	2	seytek-2012:p0976:b003:l019	Алп Сарыбай баатырга:	visual_sequence_alignment_aid_only
104	3	seytek-2012:p0976:b003:l020	«Баатыр болсоң, шер болсоң	visual_sequence_alignment_aid_only
104	4	seytek-2012:p0976:b003:l021	Эр Сарыбай сен болсоң,	visual_sequence_alignment_aid_only
104	5	seytek-2012:p0976:b003:l022	Алышты арбын салыңыз,	visual_sequence_alignment_aid_only
104	6	seytek-2012:p0976:b003:l023	Кезегиңди алыңыз,	visual_sequence_alignment_aid_only
104	7	seytek-2012:p0976:b003:l024	Кыймылдабай кылт этпей,	visual_sequence_alignment_aid_only
104	8	seytek-2012:p0976:b003:l025	Кыйшаңдабай кылк этпей,	visual_sequence_alignment_aid_only
104	9	seytek-2012:p0976:b003:l026	Каарын кыйнап кол сунуп,	visual_sequence_alignment_aid_only
104	10	seytek-2012:p0976:b003:l027	Жетип найза уруңуз.	visual_sequence_alignment_aid_only
104	11	seytek-2012:p0976:b003:l028	Мыктылап күчкө салыңыз,	visual_sequence_alignment_aid_only
104	12	seytek-2012:p0976:b003:l029	Кезетиңди алыңыз!	visual_sequence_alignment_aid_only
104	13	seytek-2012:p0976:b003:l030	Акылдан тайып шашпаңыз,	visual_sequence_alignment_aid_only
104	14	seytek-2012:p0976:b003:l031	Аң-таң уруп качпаңыз!» –	visual_sequence_alignment_aid_only
104	15	seytek-2012:p0976:b003:l032	Деп, ошентип Куялы	visual_sequence_alignment_aid_only
104	16	seytek-2012:p0976:b003:l033	Сүлөөсүндөй керилип,	visual_sequence_alignment_aid_only
104	17	seytek-2012:p0976:b003:l034	Сүйлөөр сөздөн эринип,	visual_sequence_alignment_aid_only
104	18	seytek-2012:p0976:b003:l035	Ак маралдай кыйгачтап,	visual_sequence_alignment_aid_only
104	19	seytek-2012:p0976:b003:l036	Аста сүйлөп кеп баштап,	visual_sequence_alignment_aid_only
104	20	seytek-2012:p0976:b003:l037	Кеби шербет көрүнүп,	visual_sequence_alignment_aid_only
104	21	seytek-2012:p0976:b003:l038	Көргөндө көңүл бөлүнүп,	visual_sequence_alignment_aid_only
104	22	seytek-2012:p0976:b003:l039	Ак бугудай даңкайып,	visual_sequence_alignment_aid_only
104	23	seytek-2012:p0976:b003:l040	Ала аскардай чалкайып,	visual_sequence_alignment_aid_only
104	24	seytek-2012:p0977:b002:l001	Балбан кыял шер жүрөк,	visual_sequence_alignment_aid_only
104	25	seytek-2012:p0977:b002:l002	Бастырып чыгып турду эле.	visual_sequence_alignment_aid_only
104	26	seytek-2012:p0977:b002:l003	Мына ошондо Сарыбай	visual_sequence_alignment_aid_only
104	27	seytek-2012:p0977:b002:l004	Кең дүнүйө тарыды,	visual_sequence_alignment_aid_only
104	28	seytek-2012:p0977:b002:l005	Күңгүрөнүп күүлөндү,	visual_sequence_alignment_aid_only
104	29	seytek-2012:p0977:b002:l006	Күрсүлдөп нечен түрлөндү,	visual_sequence_alignment_aid_only
104	30	seytek-2012:p0977:b002:l007	Жарактарын жайланды,	visual_sequence_alignment_aid_only
104	31	seytek-2012:p0977:b002:l008	Жалаңдаган кутургур	visual_sequence_alignment_aid_only
104	32	seytek-2012:p0977:b002:l009	Алышар жагын камданды.	visual_sequence_alignment_aid_only
104	33	seytek-2012:p0977:b002:l010	Каарданып камынды,	visual_sequence_alignment_aid_only
104	34	seytek-2012:p0977:b002:l011	Кара болот байланып,	visual_sequence_alignment_aid_only
104	35	seytek-2012:p0977:b002:l012	Каары бетине айланып,	visual_sequence_alignment_aid_only
104	36	seytek-2012:p0977:b002:l013	Сакал-мурут бириндеп,	visual_sequence_alignment_aid_only
104	37	seytek-2012:p0977:b002:l014	Ай-ааламды буй кылып,	visual_sequence_alignment_aid_only
104	38	seytek-2012:p0977:b002:l015	Кутурчудай күрүлдөп,	visual_sequence_alignment_aid_only
104	39	seytek-2012:p0977:b002:l016	Аны көрүп турган жан,	visual_sequence_alignment_aid_only
104	40	seytek-2012:p0977:b002:l017	Азат бою дүркүрөп,	visual_sequence_alignment_aid_only
104	41	seytek-2012:p0977:b002:l018	Эң кайраттуу чочконун,	visual_sequence_alignment_aid_only
104	42	seytek-2012:p0977:b002:l019	Эсепсизден байкасам,	visual_sequence_alignment_aid_only
104	43	seytek-2012:p0977:b002:l020	Эл жанынан түңүлүп,	visual_sequence_alignment_aid_only
104	44	seytek-2012:p0977:b002:l021	Найза кармап чыңданып,	visual_sequence_alignment_aid_only
104	45	seytek-2012:p0977:b002:l022	Күчүн жыйнап тыңданып,	visual_sequence_alignment_aid_only
104	46	seytek-2012:p0977:b002:l023	Күр-күр этип бөлүнүп,	visual_sequence_alignment_aid_only
104	47	seytek-2012:p0977:b002:l024	Күчү селдей көрүнүп,	visual_sequence_alignment_aid_only
104	48	seytek-2012:p0977:b002:l025	Күркүрөдү кутургур.	visual_sequence_alignment_aid_only
