manuscript_position	printed_source_id	printed_text	status
sayakbay-ms-current142:pdf030:l001	seytek-2012:p0929:b004:l011	Кагып туруп калды эле.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l002	seytek-2012:p0929:b004:l012	Тайып найза өткөн соң,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l003	seytek-2012:p0929:b004:l013	Сарыбай качып кеткен соң,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l004	seytek-2012:p0929:b004:l014	Айбаттанып Сарыбай,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l005	seytek-2012:p0929:b004:l015	Ачууланды момундай.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l006	seytek-2012:p0929:b004:l016	Нечен иштин баарысын,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l007	seytek-2012:p0929:b004:l017	Утуп ие таштады.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l008	seytek-2012:p0929:b004:l018	Ажыдаардай ышкырып,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l009	seytek-2012:p0929:b004:l019	Айбаттанып бакырып,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l010	seytek-2012:p0929:b004:l020	Бакырыгы баш жарып,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l011	seytek-2012:p0929:b004:l021	Өрөпкүгөн доңуздун,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l012	seytek-2012:p0929:b004:l022	Өкүрүгү таш жарып,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l013	seytek-2012:p0929:b004:l023	Каары катуу төгүлүп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l014	seytek-2012:p0929:b004:l024	Заары башка бөлүнүп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l015	seytek-2012:p0929:b004:l025	Сарыбай жайын сураба.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l016	seytek-2012:p0929:b004:l026	Каарданып чамынып,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l017	seytek-2012:p0929:b004:l027	Найза сунуп камынып,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l018	seytek-2012:p0929:b004:l028	Журт бүлдүргөн капыр – деп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l019	seytek-2012:p0929:b004:l029	Кармап жүргөн катын – деп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l020	seytek-2012:p0929:b004:l030	Каарланды жээлигип,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l021	seytek-2012:p0929:b004:l031	Калкы тынбай ээлигип.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l022	seytek-2012:p0929:b004:l032	Октос берип октолуп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l023	seytek-2012:p0929:b004:l033	Оозунан күйгөн чок болуп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l024	seytek-2012:p0929:b004:l034	Кайраты катуу эң ыктуу,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l025	seytek-2012:p0929:b004:l035	Айла билген эң мыктуу.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l026	seytek-2012:p0929:b004:l036	Баатырдыгы башкача,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l027	seytek-2012:p0929:b004:l037	Балбандыгы бир канча,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l028	seytek-2012:p0929:b004:l038	Айбаты артык, заары күч,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l029	seytek-2012:p0929:b004:l039	Капырды көрсөм өлдүм – деп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l030	seytek-2012:p0929:b004:l040	Чымындай жандан күдөр үз.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l031	seytek-2012:p0930:b002:l001	Чын балакет Сарыбай,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l032	seytek-2012:p0930:b002:l002	Чын жаңжалы момундай.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l033	seytek-2012:p0930:b002:l003	Сарыбай жайын сураба,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l034	seytek-2012:p0930:b002:l004	Ачууланса буулуккан,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l035	seytek-2012:p0930:b002:l005	Айбатынан капырдын,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l036	seytek-2012:p0930:b002:l006	Ажалдуу пенде жолуккан.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l037	seytek-2012:p0930:b002:l007	Күркүрөдү күүлөнүп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l038	seytek-2012:p0930:b002:l008	Күчөндү жаман сүйлөнүп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l039	seytek-2012:p0930:b002:l009	Каарланып келгени,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l040	seytek-2012:p0930:b002:l010	Кайраты катуу бөлүндү,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf030:l041	seytek-2012:p0930:b002:l011	Караса мүшкүл чочконун,	provisional-boundary-and-count-match
