scan_pdf_page	physical_line	printed_counterpart_id	printed_reading	review_status
101	1	seytek-2012:p0974:b003:l007	Көлөкө жерге сактаткан,	visual_sequence_match_printed_aid
101	2	seytek-2012:p0974:b003:l008	Пил терисин каптаткан.	visual_sequence_match_printed_aid
101	3	seytek-2012:p0974:b003:l009	Муштаганда караандын	visual_sequence_match_printed_aid
101	4	seytek-2012:p0974:b003:l010	Болоттугу билинген,	visual_sequence_match_printed_aid
101	5	seytek-2012:p0974:b003:l011	Тийген жери тилинген.	visual_sequence_match_printed_aid
101	6	seytek-2012:p0974:b003:l012	Тим муштаны карааның,	visual_sequence_match_printed_aid
101	7	seytek-2012:p0974:b003:l013	Сынып кетти тим эле,	visual_sequence_match_printed_aid
101	8	seytek-2012:p0974:b003:l014	Түпкүч болуп тирилген,	visual_sequence_match_printed_aid
101	9	seytek-2012:p0974:b003:l015	Болоттон бөлүп тоо кылган,	visual_sequence_match_printed_aid
101	10	seytek-2012:p0974:b003:l016	Чынмачындын тукуму,	visual_sequence_match_printed_aid
101	11	seytek-2012:p0974:b003:l017	Чын кытайдын тукуму,	visual_sequence_match_printed_aid
101	12	seytek-2012:p0974:b003:l018	Хан Манаска доо кылган.	visual_sequence_match_printed_aid
101	13	seytek-2012:p0974:b003:l019	Ошол турган капырдын,	visual_sequence_match_printed_aid
101	14	seytek-2012:p0974:b003:l020	Алда Таала кудурет,	visual_sequence_match_printed_aid
101	15	seytek-2012:p0974:b003:l021	Жалгыз жанын соо кылган.	visual_sequence_match_printed_aid
