scan_pdf_page	candidate_sequence	printed_counterpart_id	printed_reading	status
106	1	seytek-2012:p0977:b004:l035	Кызыталак куу дүйнө,	boundary_order_alignment_aid_only
106	2	seytek-2012:p0977:b004:l036	Кыйындап алдап кеткенби» –	boundary_order_alignment_aid_only
106	3	seytek-2012:p0977:b004:l037	Деп, ошентип Сарыбай,	boundary_order_alignment_aid_only
106	4	seytek-2012:p0977:b004:l038	Сакал-мурут бөлүнүп,	boundary_order_alignment_aid_only
106	5	seytek-2012:p0977:b004:l039	Заары кырдай көрүнүп,	boundary_order_alignment_aid_only
106	6	seytek-2012:p0977:b004:l040	Каарланып күч толуп,	boundary_order_alignment_aid_only
106	7	seytek-2012:p0978:b002:l001	Чын кайраты бүт толуп,	boundary_order_alignment_aid_only
106	8	seytek-2012:p0978:b002:l002	Эки жагын каранып,	boundary_order_alignment_aid_only
106	9	seytek-2012:p0978:b002:l003	Ачууланып бадирек,	boundary_order_alignment_aid_only
106	10	seytek-2012:p0978:b002:l004	Эрди-мурдун жаланып,	boundary_order_alignment_aid_only
106	11	seytek-2012:p0978:b002:l005	Каарын төгүп калкына,	boundary_order_alignment_aid_only
106	12	seytek-2012:p0978:b002:l006	Кайрат кайнап, жан уруп,	boundary_order_alignment_aid_only
106	13	seytek-2012:p0978:b002:l007	Катуу кайрат баштады.	boundary_order_alignment_aid_only
106	14	seytek-2012:p0978:b002:l008	Кайран жанды өлүмгө,	boundary_order_alignment_aid_only
106	15	seytek-2012:p0978:b002:l009	Жөн эле байлап таштады.	boundary_order_alignment_aid_only
106	16	seytek-2012:p0978:b002:l010	Алдымдагы Тоокызыл	boundary_order_alignment_aid_only
106	17	seytek-2012:p0978:b002:l011	Аркасы бийик, соору бас,	boundary_order_alignment_aid_only
106	18	seytek-2012:p0978:b002:l012	Алдыга салса чарчабас.	boundary_order_alignment_aid_only
106	19	seytek-2012:p0978:b002:l013	Кең көкүрөк, тайкы жал,	boundary_order_alignment_aid_only
106	20	seytek-2012:p0978:b002:l014	Келишимдүү бууданды,	boundary_order_alignment_aid_only
106	21	seytek-2012:p0978:b002:l015	Кара жаак булдурсун,	boundary_order_alignment_aid_only
106	22	seytek-2012:p0978:b002:l016	Кармай калып имерип,	boundary_order_alignment_aid_only
106	23	seytek-2012:p0978:b002:l017	Тоокызылды токтотпой,	boundary_order_alignment_aid_only
106	24	seytek-2012:p0978:b002:l018	Томукка салып жиберип,	boundary_order_alignment_aid_only
106	25	seytek-2012:p0978:b002:l019	Мына ошондо Тоокызыл	boundary_order_alignment_aid_only
106	26	seytek-2012:p0978:b002:l020	Койдой саны бөлүнүп,	boundary_order_alignment_aid_only
106	27	seytek-2012:p0978:b002:l021	Ко¸ндой жону түзөлүп,	boundary_order_alignment_aid_only
106	28	seytek-2012:p0978:b002:l022	Араандай оозу ачылып,	boundary_order_alignment_aid_only
106	29	seytek-2012:p0978:b002:l023	Катып кеткен туягы	boundary_order_alignment_aid_only
106	30	seytek-2012:p0978:b002:l024	Табактай болуп жазылып,	boundary_order_alignment_aid_only
106	31	seytek-2012:p0978:b002:l025	Тулпардыгы билинип,	boundary_order_alignment_aid_only
106	32	seytek-2012:p0978:b002:l026	Жебедей ыргып түйүлүп,	boundary_order_alignment_aid_only
106	33	seytek-2012:p0978:b002:l027	Жагалмай сындуу доңуздун	boundary_order_alignment_aid_only
106	34	seytek-2012:p0978:b002:l028	Жадабай оозун бурду эле.	boundary_order_alignment_aid_only
106	35	seytek-2012:p0978:b002:l029	Кан жыттанган көк найза,	boundary_order_alignment_aid_only
106	36	seytek-2012:p0978:b002:l030	Качырганда не пайда.	boundary_order_alignment_aid_only
106	37	seytek-2012:p0978:b002:l031	Каруусу толуп капыр кул,	boundary_order_alignment_aid_only
106	38	seytek-2012:p0978:b002:l032	Кан Сарыбай баатыр кул,	boundary_order_alignment_aid_only
106	39	seytek-2012:p0978:b002:l033	Музду бузуп тоону алган,	boundary_order_alignment_aid_only
106	40	seytek-2012:p0978:b002:l034	Чеп кыйратып жоону алган.	boundary_order_alignment_aid_only
106	41	seytek-2012:p0978:b002:l035	Башта баркын билишкен,	boundary_order_alignment_aid_only
106	42	seytek-2012:p0978:b002:l036	Ай-аалам менен тийишкен,	boundary_order_alignment_aid_only
106	43	seytek-2012:p0978:b002:l037	Аты угулган ааламга,	boundary_order_alignment_aid_only
106	44	seytek-2012:p0978:b002:l038	Арбагы чыккан далайга.	boundary_order_alignment_aid_only
106	45	seytek-2012:p0978:b002:l039	Катуу каардуу Сарыбай,	boundary_order_alignment_aid_only
106	46	seytek-2012:p0978:b002:l040	Аныктап Кудай урду эми.	boundary_order_alignment_aid_only
106	47	seytek-2012:p0978:b003:l001	Кан жыттанган көк найза,	boundary_order_alignment_aid_only
106	48	seytek-2012:p0978:b003:l002	Күркүрөтө сунду эле.	boundary_order_alignment_aid_only
106	49	seytek-2012:p0978:b003:l003	Кайран эрдин кашы – деп,	boundary_order_alignment_aid_only
106	50	seytek-2012:p0978:b003:l004	Алыс келсе тетири	boundary_order_alignment_aid_only
106	51	seytek-2012:p0978:b003:l005	Жүрөгүнүн башы – деп,	boundary_order_alignment_aid_only
106	52	seytek-2012:p0978:b003:l006	Көкжалдын кара көзү – деп,	boundary_order_alignment_aid_only
